,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,geometry,index_right
382,MNRM  ,ทต.คุ้งสำเภา,15.3100304,100.081728,คุ้งสำเภา,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,R,POINT (616130.5636064331 1692906.6827055134),0
383,HUKT  ,ทต.สรรพยา,15.1321296,100.2512832,สรรพยา,สรรพยา,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,R,POINT (634448.6227357328 1673323.4873797712),0
385,LDKS  ,อบต.นากอก,16.8967984,102.201664,นากอก,ศรีบุญเรือง,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (841130.0027772547 1870910.6910195649),0
389,BSIK  ,อบต.เขาหลวง,17.3174128,101.6353472,เขาหลวง,วังสะพุง,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (780120.2239565778 1916587.9385682966),0
394,MEPK  ,อบต.แม่พริก,17.455208,99.1186432,แม่พริก,แม่พริก,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (512597.8898368157 1929917.4609783625),0
397,LPLE  ,ทต.ศรีพนมมาศ,17.6545616,100.0358272,ศรีพนมมาศ,ลับแล,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (609871.8216835753 1952269.4834132884),0
404,NIKS  ,อบต.นิคมกระเสียว,14.8573408,99.5750784,นิคมกระเสียว,ด่านช้าง,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,R,POINT (561866.9300635211 1642626.964498457),0
409,SNGT  ,อบต.บ้านกลาง,18.4820128,100.1775424,บ้านกลาง,สอง,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (624321.6943305411 2043919.9274917303),0
418,BHMN  ,อบต.ห้วยมุ่น,17.8091584,100.9394624,ห้วยมุ่น,น้ำปาด,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (705568.4261545658 1970136.1842316699),0
421,STWN  ,ทต.ทุ่งทราย,16.2950736,99.808992,ทุ่งทราย,ทรายทองวัฒนา,กำแพงเพชร,แม่น้ำน่าน,ภาคเหนือ,R,POINT (586429.5910178091 1801746.4360354233),0
423,KPPT  ,อบจ.กำแพงเพชร,16.4109168,99.5219136,อ่างทอง,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R,POINT (555725.4552086418 1814461.283372672),0
424,KGKG  ,อบต.คลองขลุง,16.2087008,99.7089472,คลองขลุง,คลองขลุง,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R,POINT (575773.7832796774 1792151.7816872555),0
426,HNKA  ,ทต.หันคา,14.969648,100.0103936,หันคา,หันคา,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,R,POINT (608645.0780759107 1655216.3992565488),0
428,PKTI  ,ทต.พรานกระต่าย,16.653768,99.5757824,พรานกระต่าย,พรานกระต่าย,กำแพงเพชร,แม่น้ำยม,ภาคเหนือ,R,POINT (561400.4330022612 1841342.1895871817),0
429,WGYG  ,อบต.วังม่วง,14.8486544,101.145504,วังม่วง,วังม่วง,สระบุรี,แม่น้ำป่าสัก,ภาคกลาง,R,POINT (730866.325733885 1642694.7048090608),0
430,LKBU  ,อบต.ลานกระบือ,16.618064,99.880032,ลานกระบือ,ลานกระบือ,กำแพงเพชร,แม่น้ำยม,ภาคเหนือ,R,POINT (593864.2270818119 1837510.3241608117),0
467,WAN001,สามเงา,17.260568,99.0780032,วังหมัน,สามเงา,ตาก,แม่น้ำวัง,ภาคเหนือ,W,POINT (508291.3561469016 1908382.4124451661),0
