,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,geometry,index_right
723,SKG003,สะพานต้นน้ำ (เกาะแก้ว-ตลิ่งสูง),15.9145904,99.4193984,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำสะแกกรัง,ภาคเหนือ,W,POINT (544891.4489261793 1759532.9319426275),0
724,SKG007,คลองกลาง,15.7832336,99.653248,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,แม่น้ำสะแกกรัง,ภาคเหนือ,W,POINT (569968.1849692232 1745066.6199392448),0
725,SKG008,หน่วยพิทักษ์ อช.แม่วงก์ที่ 4 (แม่เรวา),15.9124896,99.3274432,แม่เล่ย์,แม่วงก์,นครสวรรค์,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (535049.03348831 1759282.9614426834),0
726,SKG005,สะพานแม่วงก์,15.90176,99.470464,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,แม่น้ำสะแกกรัง,ภาคเหนือ,W,POINT (550360.6880649828 1758125.3150550514),0
727,SKG004,สะพานแม่เล่ย์,15.8417728,99.4180736,แม่เล่ย์,แม่วงก์,นครสวรรค์,แม่น้ำสะแกกรัง,ภาคเหนือ,W,POINT (544765.7235650112 1751477.8780918715),0
741,SWR003,อบต.วังยาว,14.8901616,99.3775296,วังยาว,ด่านช้าง,สุพรรณบุรี,แม่น้ำแม่กลอง,ภาคกลาง,R,POINT (540608.1522970538 1646211.8165711588),0
775,SWR002,รพสต.แก่นมะกรูด,15.1618496,99.2890112,แก่นมะกรูด,บ้านไร่,อุทัยธานี,แม่น้ำแม่กลอง,ภาคเหนือ,R,POINT (531047.4828384673 1676247.885298007),0
783,FOP016,ลำน้ำสานบ้านทุ่งยาวเหนือ,18.5118656,99.0772736,ศรีบัวบาน,เมืองลำพูน,ลำพูน,แม่น้ำปิง,ภาคเหนือ,W,POINT (508156.46128280344 2046819.6168108943),0
810,FOP056,คลองจอมแจ้ง,17.702368,100.0216832,แม่พูล,ลับแล,อุตรดิตถ์,,ภาคเหนือ,W,POINT (608342.767066777 1957550.9432101324),0
814,FOP020,ประปาหมู่บ้านมหาราช,17.7214784,100.0180352,แม่พูล,ลับแล,อุตรดิตถ์,,ภาคเหนือ,R,POINT (607944.4558170442 1959663.3609395472),0
819,FOP021,น้ำตกแม่พูล,17.7283984,99.9781632,แม่พูล,ลับแล,อุตรดิตถ์,,ภาคเหนือ,R,POINT (603712.4183135596 1960406.611179264),0
823,FOP055,คลองกั้ง,17.71632,100.1241152,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,,ภาคเหนือ,W,POINT (619196.8823908919 1959156.5987516346),0
824,FOP019,คลองสรอย วัดแม่ขมวก,17.7749616,99.4693824,สรอย,วังชิ้น,แพร่,,ภาคเหนือ,W,POINT (549753.1539861134 1965350.670755199),0
825,FOP022,สะพานวัดมงคลร่วมใจ (บ้านวังสาร),16.6705056,100.327904,ท่าตาล,บางกระทุ่ม,พิษณุโลก,,ภาคเหนือ,W,POINT (641601.7243686611 1843576.0885762721),0
837,VLGE32,รร. บ้านเพ็กเฟื้อย-ห้วยเตย,17.147376,102.332128,หนองหว้า,เมืองหนองบัวลำภู,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (854570.3697750146 1898900.872576214),0
839,VLGE49,ตำบลซับสมบูรณ์,15.6160368,101.0235072,ซับสมบูรณ์,วิเชียรบุรี,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (716945.6488674234 1727495.8130838606),0
845,VLGE13,ชุมแสงสงคราม,16.858552,100.0596416,ชุมแสงสงคราม,บางระกำ,พิษณุโลก,แม่น้ำยม,ภาคเหนือ,W,POINT (612881.3380318112 1864210.205445241),0
846,VLGE37,ตาดโตน,15.8730224,102.0162816,นาฝาย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (823047.4956841774 1757217.1551552955),0
866,VLGE12,นครป่าหมาก,16.6233456,100.3691904,นครป่าหมาก,บางกระทุ่ม,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (646040.7445439491 1838387.6753733542),0
869,VLGE45,พิพิธภัณฑ์ธรรมชาติบ้านห้วยปลาหลด,16.7837488,98.8948416,ด่านแม่ละเมา,แม่สอด,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R,POINT (488793.83654671075 1855635.4712181424),0
872,VLGE28,ชุมชนแม่ตาลน้อย,18.4151984,99.2646784,เวียงตาล,ห้างฉัตร,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (527953.323234791 2036142.8665038801),0
873,VLGE36,ชุมชนห้วยไร่,17.8857776,100.0416,ห้วยไร่,เด่นชัย,แพร่,แม่น้ำยม,ภาคเหนือ,W,POINT (610342.2443338712 1977856.5519136933),0
875,VLGE15,ชุมชนหนองปิ้งไก่,16.4347792,99.3673472,นาบ่อคำ,เมืองกำแพงเพชร,กำแพงเพชร,แม่น้ำปิง,ภาคเหนือ,R,POINT (539217.1650064813 1817064.7757538916),0
883,TBR012,อบต.บ้านหนองตางู,16.1249984,100.0577472,หนองตางู,บรรพตพิสัย,นครสวรรค์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (613104.8798102379 1783052.0672355543),0
886,TBR014,อบต.นาโป่ง,17.6442256,99.16272,นาโป่ง,เถิน,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (517260.1977668681 1950832.1907603086),0
887,TBR011,อบต.เวียงตาล,18.311392,99.3252352,เวียงตาล,ห้างฉัตร,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (534369.4624248688 2024667.9472783215),0
889,TBW009,อ่างเก็บน้ำแม่เกี๋ยง,18.4327824,99.498272,บ้านเอื้อม,เมืองลำปาง,ลำปาง,แม่น้ำวัง,ภาคเหนือ,W,POINT (552618.7420786658 2038140.3272470657),0
891,TBW014,สะพานข้ามคลองเกรียงไกร,15.8432304,100.211488,บางเคียน,ชุมแสง,นครสวรรค์,แม่น้ำน่าน,ภาคเหนือ,W,POINT (629727.8705016825 1751968.9944645178),0
894,TBR015,สวนเพชรล้านนา,18.8031248,99.583744,แม่สุก,แจ้ห่ม,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (561511.7366722152 2079144.876351387),0
908,TBR013,อบต.ท่าเสา,15.9900416,100.2215936,ท่าเสา,โพทะเล,พิจิตร,แม่น้ำน่าน,ภาคเหนือ,R,POINT (630715.1483386343 1768217.7375107969),0
944,CHK001,บ่อดินขาว,15.1689984,100.4147136,ช่องแค,ตาคลี,นครสวรรค์,,ภาคเหนือ,W,POINT (651985.5858267937 1677509.1616832232),0
945,KWN003,เขื่อนแควน้อยบำรุงแดน,17.182176,100.4139072,คันโช้ง,วัดโบสถ์,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,W,POINT (650367.380449496 1900256.5995517748),0
949,CHK002,เขาวง,15.1817088,100.4145664,ช่องแค,ตาคลี,นครสวรรค์,,ภาคเหนือ,W,POINT (651960.678896296 1678915.2801496552),0
